Music	29,054	2,895	20,513	3,894	1,664	86	2
Film & Video	26,172	3,033	14,724	4,125	3,876	408	6
Games	16,430	1,305	6,664	2,943	4,027	1,372	119
Publishing	14,416	2,109	8,919	1,924	1,361	103	0
Art	13,981	3,607	8,311	1,226	763	69	5
Design	13,141	918	4,354	2,285	4,006	1,491	87
Technology	7,578	457	2,041	1,073	2,449	1,452	106
Comics	7,511	1,031	4,718	852	802	107	1
Fashion	7,213	1,155	3,231	1,255	1,328	239	5
Theater	6,932	989	5,041	610	275	17	0
Food	6,883	695	2,840	1,627	1,624	89	8
Photography	3,665	679	2,016	539	401	30	0
Dance	2,505	229	1,956	242	77	1	0
Crafts	2,483	846	1,285	204	137	11	0
Journalism	1,166	230	619	143	159	15	0
